Tanggal,Jam,Suhu (°C),Kelembapan (%),Tekanan (hPa),Kecepatan Angin,Arah Angin,Curah Hujan,Kondisi Cuaca
2025-02-28,00:00:00,25.4,87.0,1010.7,0.0,0.0,0.0,Cerah
2025-02-28,01:00:00,25.8,86.0,1011.0,1.0,80.0,0.0,Cerah
2025-02-28,02:00:00,30.3,63.0,1011.9,3.0,80.0,0.0,Berawan
2025-02-28,03:00:00,31.4,62.0,1011.8,0.0,0.0,0.0,Berawan
2025-02-28,04:00:00,31.8,63.0,1010.5,5.0,220.0,0.0,Berawan
2025-02-28,05:00:00,31.9,60.0,1009.3,5.0,200.0,0.0,Cerah
2025-02-28,06:00:00,32.3,62.0,1008.8,4.0,220.0,0.0,Berawan
2025-02-28,07:00:00,31.7,61.0,1008.2,3.0,210.0,0.0,Berawan
2025-02-28,08:00:00,31.8,68.0,1007.3,5.0,210.0,0.0,Berawan
2025-02-28,09:00:00,31.7,71.0,1007.2,5.0,210.0,0.0,Cerah
2025-02-28,10:00:00,31.3,67.0,1007.6,3.0,230.0,0.0,Berawan
2025-02-28,11:00:00,30.5,69.0,1007.9,3.0,200.0,0.0,Cerah
2025-02-28,12:00:00,30.4,72.0,1008.5,2.0,190.0,0.0,Berawan
2025-02-28,13:00:00,29.6,76.0,1009.6,0.0,0.0,0.0,Cerah
2025-02-28,14:00:00,29.2,78.0,1010.4,0.0,0.0,0.0,Cerah
2025-02-28,15:00:00,28.7,79.0,1011.1,0.0,0.0,0.0,Berawan
2025-02-28,16:00:00,28.3,80.0,1011.1,0.0,0.0,0.0,Cerah
2025-02-28,17:00:00,28.0,82.0,1011.2,0.0,0.0,0.0,Cerah
2025-02-28,18:00:00,28.0,82.0,1010.9,0.0,0.0,0.0,Cerah
2025-02-28,19:00:00,27.3,88.0,1010.3,0.0,0.0,0.0,Cerah
2025-02-28,20:00:00,27.0,75.0,1009.5,0.0,0.0,0.0,Cerah
2025-02-28,21:00:00,26.8,75.0,1009.0,0.0,0.0,0.0,Cerah
2025-02-28,22:00:00,26.9,89.0,1008.9,0.0,0.0,0.0,Hujan Ringan
2025-02-28,23:00:00,26.3,90.0,1009.1,0.0,0.0,0.0,Cerah
2025-03-01,00:00:00,26.6,91.0,1009.7,0.0,0.0,0.5,Cerah
2025-03-01,00:00:00,26.6,91.0,1009.7,0.0,0.0,0.0,Cerah
2025-03-01,01:00:00,27.7,82.0,1010.7,0.0,0.0,0.0,Berawan
2025-03-01,02:00:00,28.8,78.0,1011.5,0.0,0.0,0.0,Cerah
2025-03-01,03:00:00,29.9,73.0,1011.4,2.0,360.0,0.0,Cerah
