Form Sinop
station_id,station_name,current_latitude,current_longitude,timestamp,wind_dir_deg_dd,wind_speed_ff,visibility_vv,present_weather_ww,past_weather_w1,past_weather_w2,temp_drybulb_c_tttttt,temp_dewpoint_c_tdtdtd,temp_wetbulb_c,temp_max_c_txtxtx,temp_min_c_tntntn,relative_humidity_pc,rainfall_last_mm,rainfall_24h_rrrr,rainfall_6h_rrr,pressure_qfe_mb_derived,pressure_qff_mb_derived,evaporation_eq_indicator_ie,sunshine_h_sss,qc_flag,qc_parameter
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 00,0,0,8,3,2,1,26.6,24.6,25.1,,25.9,89,0,0.2,0,1007.7,1008.8,0,1.3,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 01,0,0,8,2,2,2,26.9,24.7,25.3,,,88,,,,1007.9,1009,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 02,0,0,8,2,2,2,29.6,24.7,26,,,75,,,,1009.1,1010.3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 03,0,0,9,2,2,2,29.6,25,26.2,,,76,0,,,1009.4,1010.6,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 04,0,0,9,2,2,2,30.4,25.3,26.6,,,74,,,,1009.1,1010.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 05,250,3,9,1,2,2,30.9,24.4,26.1,,,68,,,,1008.3,1009.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 06,220,6,8,16,2,2,31,25,26.5,,,70,0,,0,1007.4,1008.5,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 07,0,0,8,96,2,2,29.7,25.3,26.4,,,77,,,,1006.4,1007.5,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 08,0,0,2,96,9,6,27.3,25,25.6,,,87,,,,1006.3,1007.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 09,0,0,4,91,9,6,26.4,24.4,24.9,,,89,27.3,,,1006.1,1007.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 10,0,0,7,61,6,6,26.1,24.5,24.9,,,91,,,,1006,1007.1,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 11,0,0,8,21,6,2,26.5,25,25.4,,,92,,,,1006.4,1007.5,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 12,0,0,8,2,9,6,26.5,25.1,25.5,32.9,,92,3.7,,31,1007.1,1008.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 13,0,0,8,2,2,2,26.5,25.1,25.5,,,92,,,,1007.1,1008.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 14,0,0,8,2,2,2,26.2,24.7,25.1,,,92,,,,1008.4,1009.5,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 15,0,0,6,60,6,2,26.2,24.4,24.9,,,90,8888,,,1009,1010.1,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 16,0,0,8,21,2,2,26.2,24.3,24.8,,,89,,,,1009.2,1010.3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 17,0,0,8,2,2,2,26,24.4,24.8,,,91,,,,1008.9,1010,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 18,0,0,6,21,6,2,25.6,24.2,24.6,,,92,8888,,8888,1008.2,1009.3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 19,0,0,8,17,9,2,25.9,24.5,24.9,,,92,,,,1007.7,1008.8,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 20,0,0,8,29,2,2,25.6,24.4,24.7,,,93,,,,1007.2,1008.3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 21,0,0,8,1,9,2,25.5,24,24.4,,,91,0,,,1007.3,1008.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 22,0,0,8,1,1,1,25.3,24.1,24.4,,,93,,,,1007.3,1008.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-03 23,0,0,8,2,1,1,25.3,23.9,24.3,,,92,,,,1007.9,1009,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 00,0,0,7,3,2,2,25.3,23.9,24.3,,25.2,92,0,31,0,1008.1,1009.2,0,2.6,0,
