Form Sinop
station_id,station_name,current_latitude,current_longitude,timestamp,wind_dir_deg_dd,wind_speed_ff,visibility_vv,present_weather_ww,past_weather_w1,past_weather_w2,temp_drybulb_c_tttttt,temp_dewpoint_c_tdtdtd,temp_wetbulb_c,temp_max_c_txtxtx,temp_min_c_tntntn,relative_humidity_pc,pressure_qfe_mb_derived,pressure_qff_mb_derived,rainfall_last_mm,rainfall_24h_rrrr,rainfall_6h_rrr,evaporation_24hours_mm_eee,sunshine_h_sss,qc_flag,qc_parameter
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 00,0,0,7,3,2,2,25.3,23.9,24.3,,25.2,92,1008.1,1009.2,0,31,0,9.3,2.6,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 01,0,0,7,1,2,2,25.5,24.1,24.5,,,92,1008.6,1009.7,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 02,0,0,9,2,2,2,28.4,24.2,25.3,,,78,1009.2,1010.3,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 03,250,1,10,2,2,2,29.6,23.9,25.4,,,71,1008.8,1009.9,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 04,280,1,10,1,2,1,31.3,25.1,26.7,,,70,1008.1,1009.2,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 05,210,5,10,2,1,1,31.9,24.5,26.4,,,65,1007.7,1008.8,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 06,250,4,10,3,2,1,31.4,24.4,26.2,,,66,1006.9,1008,0,,0,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 07,230,9,10,3,2,2,31.7,25.3,26.9,,,69,1006,1007.1,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 08,230,3,9,2,2,2,30.8,25.5,26.8,,,73,1005.5,1006.6,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 09,210,1,9,2,2,2,30.2,25.2,26.5,,,75,1005.2,1006.3,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 10,200,1,9,2,2,2,30,25.3,26.5,,,76,1005.3,1006.4,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 11,0,0,9,2,2,2,29.5,25.5,26.5,,,79,1005.5,1006.6,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 12,0,0,9,2,2,2,29,25.2,26.2,33.2,,80,1007,1008.1,0,,0,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 13,0,0,8,60,6,2,28.6,25.1,26,,,81,1007.5,1008.6,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 14,0,0,5,61,6,6,27.4,24.5,25.3,,,84,1008.7,1009.8,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 15,0,0,2,63,6,6,27,24.8,25.4,,,88,1008.9,1010,0.9,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 16,0,0,6,21,6,2,26.7,24.8,25.3,,,89,1009.2,1010.3,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 17,0,0,8,2,2,2,26.5,24.7,25.2,,,90,1008.8,1009.9,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 18,0,0,8,1,6,2,26.1,24.3,24.8,,,90,1008.2,1009.3,1,,1.9,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 19,0,0,8,1,1,1,26,24.4,24.8,,,91,1007.7,1008.8,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 20,0,0,8,2,1,1,26.2,24.3,24.8,,,89,1007.3,1008.4,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 21,0,0,8,2,1,1,25.8,23.9,24.4,,,89,1006.7,1007.8,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 22,0,0,8,2,1,1,25.8,24,24.5,,,90,1006.6,1007.7,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-04 23,0,0,7,1,1,1,26.1,25.3,25.5,,,95,1006.2,1007.3,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-05 00,0,0,8,3,6,2,25.3,23.5,24,,25.3,90,1007.2,1008.3,0,1.9,0,2.7,4.2,0,
