Form Sinop
station_id,station_name,current_latitude,current_longitude,timestamp,wind_dir_deg_dd,wind_speed_ff,visibility_vv,present_weather_ww,past_weather_w1,past_weather_w2,pressure_qfe_mb_derived,pressure_qff_mb_derived,temp_drybulb_c_tttttt,temp_dewpoint_c_tdtdtd,temp_wetbulb_c,temp_max_c_txtxtx,temp_min_c_tntntn,relative_humidity_pc,rainfall_last_mm,rainfall_24h_rrrr,rainfall_6h_rrr,sunshine_h_sss,evaporation_24hours_mm_eee,qc_flag,qc_parameter
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 00,0,0,9,1,2,1,1009.1,1010.2,24.6,22.5,23.1,,24.6,88,0,10.8,0,4.6,6.2,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 01,0,0,9,1,1,1,1009.9,1011,26.2,23,23.9,,,83,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 02,70,3,10,1,1,0,1010.1,1011.2,30,22.4,24.5,,,64,,,,,,1,temp_drybulb_c_tttttt:step_check
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 03,0,0,10,2,1,0,1010,1011.1,31.7,22.3,24.9,,,58,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 04,0,0,10,2,0,0,1009.3,1010.4,32.9,22.7,25.5,,,55,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 05,260,2,10,2,0,0,1008.8,1009.9,32.8,22.6,25.4,,,55,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 06,240,2,10,2,1,0,1007.8,1008.9,33.2,24.1,26.5,,,59,0,,0,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 07,220,5,10,3,1,0,1006.8,1007.9,32.5,23.1,25.6,,,58,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 08,210,4,10,3,1,1,1006,1007.2,31.6,24.2,26.1,,,65,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 09,170,2,10,3,2,1,1005.6,1006.7,31.7,24.6,26.4,,,66,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 10,0,0,10,2,2,2,1006.5,1006.6,31.2,24.5,26.2,,,67,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 11,210,2,10,2,2,2,1006,1007.1,30.5,24.3,25.9,,,69,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 12,0,0,9,3,2,1,1006.8,1007.9,29.8,24.7,26,33.7,,74,0,,0,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 13,210,1,9,2,2,2,1007.5,1008.6,29.6,24.5,25.8,,,74,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 14,0,0,8,3,2,2,1008.9,1010,29.4,24.7,25.9,,,76,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 15,0,0,8,2,2,2,1008.7,1009.8,29.2,25.2,26.2,,,79,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 16,0,0,8,2,2,2,1008.8,1009.9,29,24.7,25.8,,,78,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 17,0,0,8,2,2,2,1008.9,1010,28.2,24.4,25.4,,,80,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 18,20,3,8,2,2,2,1008.4,1009.6,27.3,22.7,24,,,76,0,,0,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 19,150,2,6,60,6,2,1009.4,1010.6,26.4,22.8,23.8,,,81,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 20,0,0,4,63,6,6,1009,1010.2,25.6,22.8,23.6,,,85,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 21,0,0,4,63,6,2,1008.6,1009.8,24.5,23,23.4,,,91,17,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 22,0,0,6,61,6,6,1008.4,1009.5,24.3,22.6,23.1,,,90,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-16 23,0,0,7,21,6,2,1009,1010.1,24.2,22.7,23.1,,,91,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-17 00,0,0,8,1,6,2,1009,1010.1,24.3,22.8,23.2,,24.2,91,1.5,18.5,18.5,9.3,7.7,0,
