Form Sinop
station_id,station_name,current_latitude,current_longitude,timestamp,wind_dir_deg_dd,wind_speed_ff,visibility_vv,present_weather_ww,past_weather_w1,past_weather_w2,temp_drybulb_c_tttttt,temp_dewpoint_c_tdtdtd,temp_wetbulb_c,temp_max_c_txtxtx,temp_min_c_tntntn,relative_humidity_pc,rainfall_last_mm,rainfall_24h_rrrr,rainfall_6h_rrr,pressure_qff_mb_derived,pressure_qfe_mb_derived,evaporation_24hours_mm_eee,sunshine_h_sss,qc_flag,qc_parameter
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 00,0,0,10,2,2,2,25.1,21.6,22.6,,25.1,81,0,0,0,1009.4,1008.3,5,9.3,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 01,310,1,10,1,2,1,26.8,21.7,23.2,,,74,,,,1010,1008.9,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 02,90,1,10,2,1,1,30.6,21.5,24.1,,,58,,,,1010.3,1009.2,,,1,temp_drybulb_c_tttttt:step_check
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 03,180,4,10,1,2,1,32.2,22.9,25.4,,,58,0,,,1010.2,1009.1,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 04,240,3,10,2,1,1,32.1,23.7,25.9,,,61,,,,1010.2,1009.1,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 05,300,3,10,2,1,1,32.3,23.9,26.1,,,61,,,,1009,1007.9,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 06,290,2,10,3,2,1,32.6,23.6,26,,,59,0,,0,1008.4,1007.3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 07,290,3,10,2,2,2,32,24.3,26.3,,,64,,,,1007.3,1006.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 08,290,3,10,2,2,2,31.9,24.6,26.5,,,66,,,,1007.2,1006.1,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 09,210,1,10,3,2,2,31.1,23.9,25.8,,,66,0,,,1007.5,1006.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 10,210,4,10,1,2,2,29,24.5,25.7,,,77,,,,1007.5,1006.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 11,250,2,10,2,2,2,28.9,24.6,25.7,,,78,,,,1007.9,1006.8,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 12,200,2,9,3,2,2,28.9,24.1,25.4,33.4,,76,0,,0,1008.4,1007.3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 13,200,3,9,60,6,2,28,24.2,25.2,,,80,,,,1009.5,1008.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 14,270,1,2,63,6,6,26.6,24.6,25.1,,,89,,,,1010.6,1009.5,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 15,0,0,6,21,6,2,26.6,25,25.4,,,91,15.2,,,1010.5,1009.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 16,140,2,1,62,6,6,25.3,23.5,24,,,90,,,,1011.6,1010.5,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 17,0,0,1,61,6,6,25.3,23.4,23.9,,,89,,,,1011.7,1010.6,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 18,0,0,0.5,63,6,6,25.2,23.7,24.1,,,91,27.5,,42.7,1010.1,1009,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 19,0,0,6,21,6,2,25,23.5,23.9,,,91,,,,1008.9,1007.8,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 20,0,0,8,2,2,2,24.8,23.1,23.6,,,90,,,,1008.5,1007.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 21,0,0,8,2,6,2,24.8,23.3,23.7,,,91,1.6,,,1008.3,1007.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 22,0,0,8,2,2,2,24.6,23.1,23.5,,,91,,,,1008,1006.9,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-22 23,0,0,8,3,2,2,24.8,23,23.5,,,90,,,,1008.2,1007.1,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-05-23 00,100,1,8,2,6,2,24.8,23.1,23.6,,24.6,90,0,44.3,1.6,1008.4,1007.3,9999,8.3,0,
