Form Sinop
station_id,station_name,current_latitude,current_longitude,timestamp,wind_dir_deg_dd,wind_speed_ff,visibility_vv,present_weather_ww,past_weather_w1,past_weather_w2,pressure_reading_mb,pressure_qfe_mb_derived,pressure_qff_mb_derived,pressure_tend_3h_mb_ppp,pressure_tend_24h_mb_ppp,temp_drybulb_c_tttttt,temp_dewpoint_c_tdtdtd,temp_wetbulb_c,temp_max_c_txtxtx,temp_min_c_tntntn,relative_humidity_pc,rainfall_last_mm,rainfall_24h_rrrr,rainfall_6h_rrr,evaporation_24hours_mm_eee,sunshine_h_sss,qc_flag,qc_parameter
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 00,0,0,10,2,2,2,,1010.8,1011.9,0.8,-0.6,26,21.9,23.1,,25.9,78,0,0,0,3.5,7,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 01,0,0,10,1,2,1,,1011.3,1012.4,,,27.7,21.8,23.5,,,70,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 02,350,2,10,1,1,1,,1011,1012.2,,,31.7,21.3,24.3,,,54,,,,,,1,temp_drybulb_c_tttttt:step_check
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 03,180,4,10,2,2,1,,1010.6,1011.7,-0.2,,33,22.5,25.4,,,54,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 04,300,4,10,2,1,1,,1010.1,1011.2,,,34,22.4,25.6,,,51,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 05,280,4,10,2,1,1,,1009.5,1010.6,,,33,22.5,25.4,,,54,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 06,270,5,10,1,1,0,,1009,1010.1,-1.6,,32.7,23.4,25.9,,,58,0,,0,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 07,250,5,10,2,0,0,,1008.6,1009.7,,,32.8,23.4,25.9,,,58,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 08,230,2,10,3,1,0,,1007.8,1008.9,,,33.3,23.4,26,,,56,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 09,190,2,9,3,2,1,,1007.6,1008.7,-1.4,,32.7,22.4,25.2,,,55,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 10,200,1,9,2,2,2,,1008.2,1009.3,,,31.3,24.7,26.4,,,68,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 11,0,0,9,2,2,2,,1008.4,1009.5,,,31.2,24.4,26.2,,,67,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 12,0,0,9,2,2,1,,1009,1010.1,1.4,-1.2,30.5,24,25.7,34.4,,68,0,,0,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 13,0,0,9,2,2,2,,1009.9,1011,,,29.6,24.3,25.7,,,73,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 14,0,0,8,2,2,2,,1010.4,1011.5,,,29.5,23.8,25.3,,,71,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 15,0,0,7,60,6,2,,1011,1012.1,2,,28.9,24.6,25.7,,,77,8888,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 16,0,0,8,21,6,2,,1010.9,1012,,,28.4,23.3,24.7,,,74,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 17,350,1,8,2,2,2,,1010.4,1011.5,,,27.8,21.6,23.4,,,69,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 18,320,3,8,2,6,2,,1010,1011.1,-1,,27.6,21.4,23.2,,,69,8888,,8888,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 19,10,2,8,2,2,2,,1009,1010.1,,,27,21.2,22.9,,,71,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 20,0,0,8,2,2,2,,1008.5,1009.6,,,26.9,21.5,23.1,,,73,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 21,360,1,8,2,2,2,,1009.1,1010.2,-0.9,,26.6,20.8,22.5,,,70,0,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 22,0,0,8,2,2,2,,1009.2,1010.3,,,26.4,20.5,22.3,,,70,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-02 23,360,1,8,1,2,2,,1009.3,1010.4,,,26,20.3,22,,,71,,,,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 00,0,0,10,1,2,1,,1009.9,1011,0.8,-0.9,26,20.3,22,,25.7,71,0,8888,0,7.6,8,0,
