Form Sinop
station_id,station_name,current_latitude,current_longitude,timestamp,wind_dir_deg_dd,wind_speed_ff,visibility_vv,present_weather_ww,past_weather_w1,past_weather_w2,temp_drybulb_c_tttttt,temp_dewpoint_c_tdtdtd,temp_wetbulb_c,temp_max_c_txtxtx,temp_min_c_tntntn,relative_humidity_pc,rainfall_last_mm,rainfall_24h_rrrr,rainfall_6h_rrr,pressure_qff_mb_derived,pressure_qfe_mb_derived,sunshine_h_sss,evaporation_24hours_mm_eee,qc_flag,qc_parameter
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 00,0,0,10,1,2,1,26,20.3,22,,25.7,71,0,8888,0,1011,1009.9,8,7.6,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 01,360,4,10,2,1,1,28.4,20.4,22.8,,,62,,,,1011.7,1010.6,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 02,30,2,10,1,0,0,32.4,22.3,25.1,,,55,,,,1011.5,1010.4,,,1,temp_drybulb_c_tttttt:step_check
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 03,320,3,10,3,1,1,33.4,22.1,25.2,,,52,0,,,1011,1009.9,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 04,310,2,10,2,1,1,33.7,24.4,26.8,,,58,,,,1010,1008.9,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 05,280,3,10,3,2,1,33.6,24,26.5,,,57,,,,1009.3,1008.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 06,190,3,10,3,2,1,32.9,24,26.3,,,59,0,,0,1008.7,1007.6,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 07,190,3,10,1,2,2,32.5,24.3,26.4,,,62,,,,1008.3,1007.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 08,220,2,10,3,2,2,32.4,24.2,26.3,,,62,,,,1007.8,1006.7,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 09,230,2,10,2,2,2,31.6,24,26,,,64,0,,,1007.8,1006.7,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 10,240,1,10,2,2,2,31.6,24.3,26.2,,,65,,,,1008.3,1007.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 11,210,1,10,3,2,2,31,24.2,26,,,67,,,,1009.1,1008,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 12,0,0,9,2,2,2,30.4,24.3,25.9,34.3,,70,0,,0,1009.9,1008.8,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 13,0,0,9,1,2,2,30,24.6,26,,,73,,,,1010.6,1009.5,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 14,0,0,9,2,2,2,29.3,24.8,26,,,77,,,,1011.5,1010.4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 15,0,0,9,2,2,2,28.7,24.9,25.9,,,80,0,,,1012.1,1011,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 16,0,0,9,2,2,2,28.5,24.4,25.5,,,79,,,,1012.4,1011.3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 17,320,1,9,1,1,1,27.7,23.7,24.8,,,79,,,,1012.1,1011,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 18,300,1,9,2,2,1,27.4,23.3,24.4,,,78,0,,0,1011.4,1010.3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 19,340,3,9,2,1,1,27.4,23.1,24.3,,,78,,,,1010.3,1009.2,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 20,0,0,9,3,2,2,27,22.2,23.6,,,75,,,,1009.7,1008.6,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 21,330,1,9,2,2,2,26.9,21.7,23.2,,,73,0,,,1010,1008.9,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 22,0,0,9,2,2,2,26.8,22.2,23.5,,,76,,,,1010.7,1009.6,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-03 23,0,0,10,1,1,1,26.1,21.4,22.8,,,76,,,,1011.6,1010.5,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-06-04 00,0,0,10,2,2,1,26,21.5,22.8,,26,76,0,0,0,1011.6,1010.5,5.7,5.1,0,
